"Movie Title","Release Year","Rotten Tomatoes Rating","Budget(Millions US Dollars)","Movie Length (Hours)","Decade"
"Pinocchio",1940,1,2.6,1.46666666666667,1940
"Fantasia",1940,0.95,2.28,2.1,1940
"The Reluctant Dragon",1941,0.67,0.6,1.23333333333333,1940
"Dumbo",1941,0.98,0.95,1.06666666666667,1940
"Bambi",1942,0.9,0.858,1.16666666666667,1940
"Make Mine Music",1946,0.7,1.35,1.25,1940
"Song of the South",1946,0.5,2.125,1.56666666666667,1940
"Melody Time",1948,0.8,1.5,1.25,1940
"So Dear to My Heart",1948,0.53,1.5,1.36666666666667,1940
"Cinderella",1950,0.84,2.9,1.23333333333333,1950
"Alice in Wonderland",1951,0.51,3,1.25,1950
"Peter Pan",1953,0.81,4,1.28333333333333,1950
"The Sword and the Rose",1953,0.35,2,1.53333333333333,1950
"The Living Desert",1953,0.74,0.3,1.15,1950
"Rob Roy, the Highland Rogue",1953,0.36,1.8,1.35,1950
"20,000 Leagues Under the Sea",1954,0.89,5,2.11666666666667,1950
"Lady and the Tramp",1955,0.93,4,1.26666666666667,1950
"Johnny Tremain",1957,0.49,0.7,1.33333333333333,1950
"Sleeping Beauty",1959,0.89,6,1.25,1950
"The Shaggy Dog",1959,0.26,1,1.73333333333333,1950
"Third Man on the Mountain",1959,0.76,2,1.75,1950
"Pollyanna",1960,0.86,2.5,2.23333333333333,1960
"Swiss Family Robinson",1960,0.82,4,2.1,1960
"One Hundred and One Dalmatians",1961,0.98,3.6,1.31666666666667,1960
"Babes in Toyland",1961,0.36,3,1.75,1960
"Bon Voyage!",1962,0.36,3,2.16666666666667,1960
"The Sword in the Stone",1963,0.66,3,1.31666666666667,1960
"Mary Poppins",1964,1,4.4,2.31666666666667,1960
"The Jungle Book",1967,0.94,4,1.3,1960
"The Happiest Millionaire",1967,0.5,5,2.73333333333333,1960
"The Love Bug",1968,0.76,5,1.8,1960
"The Aristocats",1970,0.64,4,1.31666666666667,1970
"Bedknobs and Broomsticks",1971,0.66,6.3,1.96666666666667,1970
"Robin Hood",1973,0.43,5,1.38333333333333,1970
"The Island at the Top of the World",1974,0.43,8,1.55,1970
"Freaky Friday",1976,0.88,5,1.58333333333333,1970
"The Rescuers",1977,0.81,7.5,1.28333333333333,1970
"Pete's Dragon",1977,0.88,10,2.13333333333333,1970
"The Cat from Outer Space",1978,0.67,3.5,1.73333333333333,1970
"Unidentified Flying Oddball",1979,0.33,5.25,1.55,1970
"The Black Hole",1979,0.38,20,1.63333333333333,1970
"The Watcher in the Woods",1980,0.5,9,1.4,1980
"The Last Flight of Noah's Ark",1980,0.4,6,1.61666666666667,1980
"Popeye",1980,0.59,20,1.9,1980
"Dragonslayer",1981,0.84,18,1.81666666666667,1980
"The Fox and the Hound",1981,0.7,12,1.38333333333333,1980
"Condorman",1981,0.23,14,1.5,1980
"Tex",1982,0.85,5,1.71666666666667,1980
"Something Wicked This Way Comes",1983,0.6,19,1.58333333333333,1980
"Never Cry Wolf",1983,1,11,1.75,1980
"Return to Oz",1985,0.53,28,1.88333333333333,1980
